#OTU ID	SRR11796889	SRR11796890	SRR11796891	SRR11796892	SRR11796893	SRR11796894	SRR11796895	SRR11796896	SRR11796897	SRR11796898	SRR11796899	SRR11796900	SRR11796901	SRR11796902	SRR11796903	SRR11796904	SRR11796905	SRR11796906	SRR11796907	SRR11796908	SRR11796909	SRR11796910	SRR11796911	SRR11796912	SRR11796913	SRR11796914	SRR11796915	SRR11796916	SRR11796917	SRR11796918	SRR11796919	SRR11796920	SRR11796921	SRR11796922	SRR11796923	SRR11796924	SRR11796925	SRR11796926	SRR11796927	SRR11796928	SRR11796929	SRR11796930	SRR11796931	SRR11796932	SRR11796933	SRR11796934	SRR11796935	SRR11796936	SRR11796937	SRR11796938
Otu85	5	0	23	0	1	0	0	0	0	0	0	162	89	33	90	0	0	0	1	0	126	19	0	0	8	48	0	5	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	226	212	3	0	0	0
Otu109	65	30	50	0	3	0	0	36	8	0	0	188	106	37	32	0	0	0	0	0	131	22	2	0	515	54	0	120	19	4	0	255	25	2	0	26	24	0	0	0	0	0	0	0	15	25	0	0	1	0
Otu367	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu449	3	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Otu354	5	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	0	0
Otu382	25	5	1	0	1	0	0	17	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu201	7	0	0	1	0	0	0	221	76	0	0	5	8	0	14	31	0	0	0	0	0	0	0	0	2	105	0	0	1	0	0	0	1	0	0	42	1	0	0	86	0	115	0	0	1	2	7	26	113	0
Otu288	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	33	0	0	0	0
Otu402	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	3	0	0	0	0
Otu173	19	6	14	0	0	33	5	25	0	17	14	1	3	0	10	0	5	32	18	6	2	3	30	10	1	12	3	0	0	5	1	4	3	1	4	1	6	2	21	1	5	0	19	8	11	17	35	4	18	21
